Customer,How satisfied were you with your overall delivery experience at Ali?                    1-5 where 1 = extremely dissatisfied and 5 = extremely satisfied,How satisfied were you with the quality of the food at Alis?                             1-5 where 1 = extremely dissatisfied and 5 = extremely satisfied,How satisfied were you with the speed of delivery at Alis?                                1-5 where 1 = extremely dissatisfied and 5 = extremely satisfied,Was your order accurate? Please respond yes or no.
2307,5,5,5,No
2308,3,3,3,Yes
2309,1,1,1,No
2310,5,5,5,Yes
2311,5,5,5,Yes
2312,2,2,2,No
2313,1,1,1,Yes
2314,5,5,5,Yes
2315,2,2,2,Yes
2316,3,3,3,Yes
2317,5,5,5,No
2318,3,3,3,Yes
2319,4,4,4,Yes
2320,5,5,5,Yes
2321,2,2,2,No
2322,5,5,5,Yes
2323,1,1,1,Yes
2324,3,3,3,Yes
2325,5,5,5,Yes
2326,3,3,3,No
2327,5,5,5,Yes
2328,2,2,2,Yes
2329,4,4,4,Yes
2330,3,3,3,Yes
2331,1,1,1,No
2332,5,5,5,Yes
2333,2,2,2,Yes
2334,4,4,4,Yes
2335,5,5,5,Yes
2336,2,2,2,Yes
2337,5,5,5,Yes
2338,3,3,3,No
2339,1,1,1,Yes
2340,5,5,5,Yes
2341,3,3,3,Yes
2342,2,2,2,Yes
2343,2,2,2,Yes
2344,4,4,4,Yes
2345,4,4,4,Yes
2346,3,3,3,Yes
2347,5,5,5,No
2348,3,3,3,Yes
2349,1,1,1,No
2350,5,5,5,Yes
2351,5,5,5,Yes
2352,2,2,2,No
2353,1,1,1,Yes
2354,5,5,5,Yes
2355,2,2,2,Yes
2356,3,3,3,Yes
2357,5,5,5,No
2358,3,3,3,Yes
2359,4,4,4,Yes
2360,5,5,5,Yes
2361,2,2,2,No
2362,5,5,5,Yes
2363,1,1,1,Yes
2364,3,3,3,Yes
2365,5,5,5,Yes
2366,3,3,3,No
2367,5,5,5,Yes
2368,2,2,2,Yes
2369,4,4,4,Yes
2370,3,3,3,Yes
2371,1,1,1,No
2372,5,5,5,Yes
2373,2,2,2,Yes
2374,4,4,4,Yes
2375,5,5,5,Yes
2376,2,2,2,Yes
2377,5,5,5,Yes
2378,3,3,3,No
2379,1,1,1,Yes
2380,5,5,5,Yes
2381,3,3,3,Yes
2382,2,2,2,Yes
2383,2,2,2,Yes
2384,4,4,4,Yes
2385,4,4,4,Yes
2386,3,3,3,Yes
2387,5,5,5,No
2388,3,3,3,Yes
2389,1,1,1,No
2390,5,5,5,Yes
2391,5,5,5,Yes
2392,2,2,2,No
2393,1,1,1,Yes
2394,5,5,5,Yes
2395,2,2,2,Yes
2396,3,3,3,Yes
2397,5,5,5,No
2398,3,3,3,Yes
2399,4,4,4,Yes
2400,5,5,5,Yes
2401,2,2,2,No
2402,5,5,5,Yes
2403,1,1,1,Yes
2404,3,3,3,Yes
2405,5,5,5,Yes
2406,3,3,3,No
2407,5,5,5,Yes
2408,2,2,2,Yes
2409,4,4,4,Yes
2410,3,3,3,Yes
2411,1,1,1,No
2412,5,5,5,Yes
2413,2,2,2,Yes
2414,4,4,4,Yes
2415,5,5,5,Yes
2416,2,2,2,Yes
2417,5,5,5,Yes
2418,3,3,3,No
2419,1,1,1,Yes
2420,5,5,5,Yes
2421,3,3,3,Yes
2422,2,2,2,Yes
2423,2,2,2,Yes
2424,4,4,4,Yes
2425,4,4,4,Yes
2426,3,3,3,Yes
2427,5,5,5,No
2428,3,3,3,Yes
2429,1,1,1,No
2430,5,5,5,Yes
2431,5,5,5,Yes
2432,2,2,2,No
2433,1,1,1,Yes
2434,5,5,5,Yes
2435,2,2,2,Yes
2436,3,3,3,Yes
2437,,5,5,No
2438,,3,3,Yes
2439,,4,4,Yes
2440,,5,5,Yes
2441,,2,2,No
2442,,5,5,Yes
2443,,1,1,Yes
2444,,3,3,Yes
2445,,5,5,Yes
2446,,3,3,No
2447,,5,5,Yes
2448,,2,2,Yes
2449,,4,4,Yes
2450,,3,3,Yes
2451,,1,1,No
2452,,5,5,Yes
2453,,2,2,Yes
2454,,4,4,Yes
2455,,5,5,Yes
2456,,2,2,Yes
2457,,5,5,Yes
2458,,3,3,No
2459,,1,1,Yes
2460,5,5,5,Yes
2461,3,3,3,Yes
2462,4,2,2,Yes
2463,5,2,2,Yes
2464,2,4,4,Yes
2465,5,4,4,Yes
2466,1,3,3,Yes
2467,3,5,5,No
2468,5,3,3,Yes
2469,3,1,1,No
2470,5,5,5,Yes
2471,2,5,5,Yes
2472,4,2,2,No
2473,3,1,1,Yes
2474,1,5,5,Yes
2475,5,2,2,Yes
2476,2,3,3,Yes
2477,4,,,No
2478,5,5,5,Yes
2479,2,3,3,Yes
2480,5,4,4,Yes
2481,3,5,5,No
2482,1,2,2,Yes
2483,5,5,5,Yes
2484,3,1,1,Yes
2485,2,3,3,Yes
2486,2,5,5,No
2487,4,3,3,Yes
2488,4,5,5,Yes
2489,3,2,2,Yes
2490,5,4,4,Yes
2491,3,3,3,No
2492,1,1,1,Yes
2493,5,5,5,Yes
2494,5,2,2,Yes
2495,2,4,4,Yes
2496,1,5,5,Yes
2497,5,2,2,Yes
2498,2,5,5,No
2499,3,3,3,Yes
2500,5,1,1,Yes
2501,3,5,5,Yes
2502,4,3,3,Yes
2503,5,2,2,Yes
2504,2,2,2,Yes
2505,5,4,4,Yes
2506,1,4,4,Yes
2507,3,3,3,No
2508,5,5,5,Yes
2509,3,3,3,No
2510,5,1,1,Yes
2511,2,5,5,Yes
2512,4,5,5,No
2513,3,2,2,Yes
2514,1,1,1,Yes
2515,5,5,5,Yes
2516,2,2,2,Yes
2517,4,3,3,No
2518,5,5,5,Yes
2519,2,3,3,Yes
2520,5,4,4,Yes
2521,3,5,5,No
2522,1,2,2,Yes
2523,5,5,5,Yes
2524,3,1,1,Yes
2525,2,3,3,Yes
2526,2,5,5,No
2527,4,3,3,Yes
2528,4,5,5,Yes
2529,3,2,2,Yes
2530,5,4,4,Yes
2531,3,3,3,No
2532,1,1,1,Yes
2533,5,5,5,Yes
2534,5,2,2,Yes
2535,2,4,4,Yes
2536,1,5,5,Yes
2537,5,2,2,Yes
2538,2,5,5,No
2539,3,3,3,Yes
2540,5,1,1,Yes
2541,3,5,5,Yes
2542,4,3,3,Yes
2543,5,2,2,Yes
2544,2,2,2,Yes
2545,5,4,4,Yes
2546,1,4,4,Yes
2547,3,3,3,No
2548,5,5,5,Yes
2549,3,3,3,No
2550,5,1,1,Yes
2551,2,5,5,Yes
2552,4,5,5,No
2553,3,2,2,Yes
2554,1,1,1,Yes
2555,5,5,5,Yes
2556,2,2,2,Yes
2557,4,3,3,No
2558,5,5,5,Yes
2559,2,3,3,Yes
2560,5,4,4,Yes
2561,3,5,5,No
2562,1,2,2,Yes
2563,5,5,5,Yes
2564,3,1,1,Yes
2565,2,3,3,Yes
2566,2,5,5,No
2567,4,3,3,Yes
2568,4,5,5,Yes
2569,3,2,2,Yes
2570,5,4,4,Yes
2571,3,3,3,No
2572,1,1,1,Yes
2573,5,5,5,Yes
2574,5,2,2,Yes
2575,2,4,4,Yes
2576,1,5,5,Yes
2577,5,2,2,Yes
2578,2,5,5,No
2579,3,3,3,Yes
2580,5,1,1,Yes
2581,3,5,5,Yes
2582,4,3,3,Yes
2583,5,2,2,Yes
2584,2,2,2,Yes
2585,5,4,4,Yes
2586,1,4,4,Yes
2587,3,3,3,No
2588,5,5,5,Yes
2589,3,3,3,No
2590,5,1,1,Yes
2591,2,5,5,Yes
2592,4,5,5,No
2593,3,2,2,Yes
2594,1,1,1,Yes
2595,5,5,5,Yes
2596,2,2,2,Yes
2597,4,3,3,No
2598,5,5,5,Yes
2599,2,3,3,Yes
2600,5,4,4,Yes
2601,3,5,5,No
2602,1,2,2,Yes
2603,5,5,5,Yes
2604,3,1,1,Yes
2605,2,3,3,Yes
2606,2,5,5,No
2607,4,3,3,Yes
2608,4,5,5,Yes
2609,3,2,2,Yes
2610,5,4,4,Yes
2611,3,3,3,No
2612,1,1,1,Yes
2613,5,5,5,Yes
2614,5,2,2,Yes
2615,2,4,4,Yes
2616,1,5,5,Yes
2617,5,2,2,Yes
2618,2,5,5,No
2619,3,3,3,Yes
2620,,1,1,
2621,5,5,5,
2622,3,3,3,
2623,4,2,2,
2624,5,2,2,
2625,2,4,4,
2626,5,4,4,
2627,1,3,3,
2628,3,5,5,
2629,5,3,3,
2630,3,1,1,
2631,5,5,5,
2632,2,5,5,
2633,4,2,2,
2634,3,1,1,
2635,1,5,5,
2636,5,2,2,
2637,2,3,3,
2638,4,,,
2639,5,,,
2640,2,,,
2641,5,,,
2642,3,,,
2643,1,,,
2644,5,,,
2645,3,,,
2646,2,,,
2647,2,,,
2648,4,,,
2649,4,,,
2650,3,,5,
2651,5,,3,
2652,3,5,4,
2653,1,3,5,
2654,5,4,2,
2655,5,5,5,
2656,2,2,1,
2657,1,5,3,
2658,5,1,5,
2659,2,3,3,
2660,3,5,5,
2661,5,3,2,
2662,3,5,4,
2663,4,2,3,
2664,5,4,1,
2665,2,3,5,
2666,5,1,2,
2667,1,5,4,
2668,3,2,5,
2669,5,4,2,
2670,3,5,5,
2671,5,2,3,
2672,2,5,1,
2673,4,3,5,
2674,3,1,3,
2675,1,5,2,
2676,5,3,2,
2677,2,2,4,
2678,4,2,4,
2679,5,4,3,
2680,2,4,5,
2681,5,3,3,
2682,3,5,1,
2683,1,3,5,
2684,5,1,5,
2685,3,5,2,
2686,2,5,1,
2687,2,2,5,
2688,4,1,2,
2689,4,5,3,
2690,3,2,5,
2691,5,3,3,
2692,3,5,4,
2693,1,3,5,
2694,5,4,2,
2695,5,5,5,
2696,2,2,1,
2697,1,5,3,
2698,5,1,5,
2699,2,3,3,
2700,3,5,5,
2701,5,3,2,
2702,3,5,4,
2703,4,2,3,Yes
2704,5,4,1,Yes
2705,2,3,5,Yes
2706,5,1,2,Yes
2707,1,5,4,Yes
2708,3,2,5,Yes
2709,5,4,2,Yes
2710,3,5,5,No
2711,5,2,3,Yes
2712,2,5,1,No
2713,4,3,5,Yes
2714,3,1,3,Yes
2715,1,5,2,No
2716,5,3,2,Yes
2717,2,2,4,Yes
2718,4,2,4,Yes
2719,5,4,3,Yes
2720,2,4,5,No
2721,5,3,3,Yes
2722,3,5,1,Yes
2723,1,3,5,Yes
2724,5,1,5,No
2725,3,5,2,Yes
2726,2,5,1,Yes
2727,2,2,5,Yes
2728,4,1,2,Yes
2729,4,5,3,No
2730,3,2,5,Yes
2731,5,3,3,Yes
2732,3,5,4,Yes
2733,1,3,5,Yes
2734,5,4,2,No
2735,5,5,5,Yes
2736,2,2,1,Yes
2737,1,5,3,Yes
2738,5,1,5,Yes
2739,2,3,3,Yes
2740,3,5,5,Yes
2741,5,3,2,No
2742,3,5,4,Yes
2743,4,2,3,Yes
2744,5,4,1,Yes
2745,2,3,5,Yes
2746,5,1,2,Yes
2747,1,5,4,Yes
2748,3,2,5,Yes
2749,5,4,2,Yes
2750,3,5,5,No
2751,5,2,3,Yes
2752,2,5,1,No
2753,4,3,5,Yes
2754,3,1,3,Yes
2755,1,5,2,No
2756,5,3,2,Yes
2757,2,2,4,Yes
2758,4,2,4,Yes
2759,5,4,3,Yes
2760,2,4,5,No
2761,5,3,3,Yes
2762,3,5,1,Yes
2763,1,3,5,Yes
2764,5,1,5,No
2765,3,5,2,Yes
2766,2,5,1,Yes
2767,2,2,5,Yes
2768,4,1,2,Yes
2769,4,5,3,No
2770,3,2,5,Yes
2771,5,3,3,Yes
2772,3,5,4,Yes
2773,1,3,5,Yes
2774,5,4,2,No
2775,5,5,5,Yes
2776,2,2,1,Yes
2777,1,5,3,Yes
2778,5,1,5,Yes
2779,2,3,3,Yes
2780,3,5,5,Yes
2781,,3,2,No
2782,5,5,4,Yes
2783,3,2,3,Yes
2784,4,4,1,Yes
2785,5,3,5,Yes
2786,2,1,2,Yes
2787,5,5,4,Yes
2788,1,2,5,Yes
2789,3,4,2,Yes
2790,5,5,5,No
2791,3,2,3,Yes
2792,5,5,1,No
2793,2,3,5,Yes
2794,4,1,3,Yes
2795,3,5,2,No
2796,1,3,2,Yes
2797,5,2,4,Yes
2798,2,2,4,Yes
2799,4,4,3,Yes
2800,5,4,5,No
2801,2,3,3,Yes
2802,5,5,1,Yes
2803,3,3,5,Yes
2804,1,1,5,No
2805,5,5,2,Yes
2806,3,5,1,Yes
2807,2,2,5,Yes
2808,2,1,2,Yes
2809,4,5,3,No
2810,4,2,,Yes
2811,3,3,,Yes
2812,5,,,Yes
2813,3,,,Yes
2814,1,,,No
2815,4,4,4,Yes
2816,3,3,3,Yes
2817,1,1,1,Yes
2818,5,5,5,Yes
2819,2,2,2,Yes
2820,4,4,4,Yes
2821,5,5,5,No
2822,2,2,2,Yes
2823,5,5,5,Yes
2824,3,3,3,Yes
2825,1,1,1,Yes
2826,5,5,5,Yes
2827,3,3,3,Yes
2828,2,2,2,Yes
2829,2,2,2,Yes
2830,4,4,4,No
2831,4,4,4,Yes
2832,3,3,3,No
2833,5,5,5,Yes
2834,3,3,3,Yes
2835,1,1,1,No
2836,5,5,5,Yes
2837,5,5,5,Yes
2838,2,2,2,Yes
2839,1,1,1,Yes
2840,5,5,5,No
2841,2,2,2,Yes
2842,3,3,3,Yes
2843,5,5,5,Yes
2844,3,3,3,No
2845,4,4,4,Yes
2846,5,5,5,Yes
2847,2,2,2,Yes
2848,5,5,5,Yes
2849,1,1,1,No
2850,3,3,3,Yes
2851,5,5,5,Yes
2852,3,3,3,Yes
2853,5,5,5,Yes
2854,2,2,2,No
2855,4,4,4,Yes
2856,3,3,3,Yes
2857,1,1,1,Yes
2858,5,5,5,Yes
2859,2,2,2,Yes
2860,4,4,4,Yes
2861,5,5,5,No
2862,2,2,2,Yes
2863,5,5,5,Yes
2864,3,3,3,Yes
2865,1,1,1,Yes
2866,5,5,5,Yes
2867,3,3,3,Yes
2868,2,2,2,Yes
2869,2,2,2,Yes
2870,4,4,4,No
2871,4,4,4,Yes
2872,3,3,3,No
2873,5,5,5,Yes
2874,3,3,3,Yes
2875,4,4,4,No
2876,3,3,3,Yes
2877,1,1,1,Yes
2878,5,5,5,Yes
2879,2,2,2,Yes
2880,4,4,4,No
2881,5,5,5,Yes
2882,2,2,2,Yes
2883,5,5,5,Yes
2884,3,3,3,No
2885,1,1,1,Yes
2886,5,5,5,Yes
2887,3,3,3,Yes
2888,2,2,2,Yes
2889,2,2,2,No
2890,4,4,4,Yes
2891,4,4,4,Yes
2892,3,3,3,Yes
2893,5,5,5,Yes
2894,3,3,3,No
2895,1,1,1,Yes
2896,5,5,5,Yes
2897,5,5,5,Yes
2898,2,2,2,Yes
2899,1,1,1,Yes
2900,5,5,5,Yes
2901,2,2,2,No
2902,3,3,3,Yes
2903,5,5,5,Yes
2904,3,3,3,Yes
2905,4,4,4,Yes
2906,5,5,5,Yes
2907,2,2,2,Yes
2908,5,5,5,Yes
2909,1,1,1,Yes
2910,3,3,3,No
2911,5,5,5,Yes
2912,3,3,3,No
2913,5,5,5,Yes
2914,2,2,2,Yes
2915,4,4,4,No
2916,3,3,3,Yes
2917,1,1,1,Yes
2918,5,5,5,Yes
2919,2,2,2,Yes
2920,4,4,4,No
2921,5,5,5,Yes
2922,2,2,2,Yes
2923,5,5,5,Yes
2924,3,3,3,No
2925,1,1,1,Yes
2926,5,5,5,Yes
2927,3,3,3,Yes
2928,2,2,2,Yes
2929,2,2,2,No
2930,4,4,4,Yes
2931,4,4,4,Yes
2932,3,3,3,Yes
2933,5,5,5,Yes
2934,3,3,3,No
2935,1,1,1,Yes
2936,5,5,5,Yes
2937,5,5,5,Yes
2938,2,2,2,Yes
2939,1,1,1,Yes
2940,5,5,5,Yes
2941,2,2,2,No
2942,3,3,3,Yes
2943,5,5,5,Yes
2944,3,3,3,Yes
2945,4,4,4,Yes
2946,5,5,5,Yes
2947,2,2,2,Yes
2948,5,5,5,Yes
2949,1,1,1,Yes
2950,3,3,3,No
2951,5,5,5,Yes
2952,3,3,3,No
2953,5,5,5,Yes
2954,2,2,2,Yes
2955,4,4,4,No
2956,3,3,3,Yes
2957,1,1,1,Yes
2958,5,5,5,Yes
2959,2,2,2,Yes
2960,4,4,4,No
2961,5,5,5,Yes
2962,2,2,2,Yes
2963,5,5,5,Yes
2964,3,3,3,No
2965,1,1,1,Yes
2966,5,5,5,Yes
2967,3,3,3,Yes
2968,2,2,2,Yes
2969,2,2,2,No
2970,4,4,4,Yes
2971,4,4,4,Yes
2972,3,3,3,Yes
2973,5,5,5,Yes
2974,3,3,3,No
2975,1,1,1,Yes
2976,5,5,5,Yes
2977,5,5,5,Yes
2978,2,2,2,Yes
2979,1,1,1,Yes
2980,5,5,5,Yes
2981,2,2,2,No
2982,3,3,3,Yes
2983,5,5,5,Yes
2984,3,3,3,Yes
2985,4,4,4,Yes
2986,5,5,5,Yes
2987,2,2,2,Yes
2988,5,5,5,Yes
2989,1,1,1,Yes
2990,3,3,3,No
2991,5,5,5,Yes
2992,3,3,3,No
2993,5,5,5,Yes
2994,2,2,2,Yes
2995,4,4,4,No
2996,3,3,3,Yes
2997,1,1,1,Yes
2998,5,5,5,Yes
2999,2,2,2,Yes
3000,4,4,4,No
3001,5,5,5,Yes
3002,2,2,2,Yes
3003,5,5,5,Yes
3004,3,3,3,No
3005,1,1,1,Yes
3006,5,5,5,Yes
3007,3,3,3,Yes
3008,2,2,2,Yes
3009,2,2,2,No
3010,4,4,4,Yes
3011,4,4,4,Yes
3012,3,3,3,Yes
3013,5,5,5,Yes
3014,3,3,3,No
3015,1,1,1,Yes
3016,5,5,5,Yes
3017,5,5,5,Yes
3018,2,2,2,Yes
3019,1,1,1,Yes
3020,5,5,5,Yes
3021,2,2,2,No
3022,3,3,3,Yes
3023,5,5,5,Yes
3024,3,3,3,Yes
3025,4,4,4,Yes
3026,5,5,5,Yes
3027,2,2,2,Yes
3028,5,5,5,Yes
3029,1,1,1,Yes
3030,3,3,3,No
3031,5,5,5,Yes
3032,3,3,3,No
3033,5,5,5,Yes
3034,2,2,2,Yes
3035,4,4,4,No
3036,3,3,3,Yes
3037,1,1,1,Yes
3038,5,5,5,Yes
3039,2,2,2,Yes
3040,4,4,4,No
3041,5,5,5,Yes
3042,2,2,2,Yes
3043,5,5,5,Yes
3044,3,3,3,No
3045,1,1,1,Yes
3046,5,5,5,Yes
3047,3,3,3,Yes
3048,2,2,2,Yes
3049,2,2,2,No
3050,4,4,4,Yes
3051,4,4,4,Yes
3052,3,3,3,Yes
3053,5,5,5,Yes
3054,3,3,3,No
3055,1,1,1,Yes
3056,5,5,5,Yes
3057,5,5,5,Yes
3058,2,2,2,Yes
3059,1,1,1,Yes
3060,5,5,5,Yes
3061,2,2,2,No
3062,3,3,3,Yes
3063,,5,5,Yes
3064,,3,3,Yes
3065,,4,4,Yes
3066,,5,5,Yes
3067,,2,2,Yes
3068,,5,5,Yes
3069,,1,1,Yes
3070,,3,3,No
3071,,5,5,Yes
3072,,3,3,No
3073,,5,5,Yes
3074,,2,2,Yes
3075,,4,4,No
3076,,3,3,Yes
3077,,1,1,Yes
3078,,5,5,Yes
3079,,2,2,Yes
3080,,4,4,No
3081,,5,5,Yes
3082,,2,2,Yes
3083,,5,5,Yes
3084,,3,3,No
3085,,1,1,Yes
3086,5,5,5,Yes
3087,3,3,3,Yes
3088,4,2,2,Yes
3089,5,2,2,No
3090,2,4,4,Yes
3091,5,4,4,Yes
3092,1,3,3,Yes
3093,3,5,5,Yes
3094,5,3,3,No
3095,3,1,1,Yes
3096,5,5,5,Yes
3097,2,5,5,Yes
3098,4,2,2,Yes
3099,3,1,1,Yes
3100,1,5,5,Yes
3101,5,2,2,No
3102,2,3,3,Yes
3103,4,,,Yes
3104,5,5,5,Yes
3105,2,3,3,No
3106,5,4,4,Yes
3107,3,5,5,
3108,1,2,2,
3109,5,5,5,
3110,3,1,1,
3111,2,3,3,
3112,2,5,5,
3113,4,3,3,
3114,4,5,5,
3115,3,2,2,
3116,5,4,4,
3117,3,3,3,
3118,1,1,1,
3119,5,5,5,
3120,5,2,2,
3121,2,4,4,
3122,1,5,5,
3123,5,2,2,
3124,2,5,5,
3125,3,3,3,
3126,5,1,1,
3127,3,5,5,
3128,4,3,3,
3129,5,2,2,
3130,2,2,2,
3131,5,4,4,
3132,1,4,4,
3133,3,3,3,
3134,5,5,5,
3135,3,3,3,
3136,5,1,1,
3137,2,5,5,Yes
3138,4,5,5,Yes
3139,3,2,2,Yes
3140,1,1,1,Yes
3141,5,5,5,Yes
3142,2,2,2,Yes
3143,4,3,3,Yes
3144,5,5,5,No
3145,2,3,3,Yes
3146,5,4,4,No
3147,3,5,5,Yes
3148,1,2,2,Yes
3149,5,5,5,No
3150,3,1,1,Yes
3151,2,3,3,Yes
3152,2,5,5,Yes
3153,4,3,3,Yes
3154,4,5,5,No
3155,3,2,2,Yes
3156,5,4,4,Yes
3157,3,3,3,Yes
3158,1,1,1,No
3159,5,5,5,Yes
3160,5,2,2,Yes
3161,2,4,4,Yes
3162,1,5,5,Yes
3163,5,2,2,No
3164,2,5,5,Yes
3165,3,3,3,Yes
3166,5,1,1,Yes
3167,3,5,5,Yes
3168,4,3,3,No
3169,5,2,2,Yes
3170,2,2,2,Yes
3171,5,4,4,Yes
3172,1,4,4,Yes
3173,3,3,3,Yes
3174,5,5,5,Yes
3175,3,3,3,No
3176,5,1,1,Yes
3177,2,5,5,Yes
3178,4,5,5,Yes
3179,3,2,2,Yes
3180,1,1,1,Yes
3181,5,5,5,Yes
3182,2,2,2,Yes
3183,4,3,3,Yes
3184,5,5,5,No
3185,2,3,3,Yes
3186,5,4,4,No
3187,3,5,5,Yes
3188,1,2,2,Yes
3189,5,5,5,No
3190,3,1,1,Yes
3191,2,3,3,Yes
3192,2,5,5,Yes
3193,4,3,3,Yes
3194,4,5,5,No
3195,3,2,2,Yes
3196,5,4,4,Yes
3197,3,3,3,Yes
3198,1,1,1,No
3199,5,5,5,Yes
3200,5,2,2,Yes
3201,2,4,4,Yes
3202,1,5,5,Yes
3203,5,2,2,No
3204,2,5,5,Yes
3205,3,3,3,Yes
3206,5,1,1,Yes
3207,3,5,5,Yes
3208,4,3,3,No
3209,5,2,2,Yes
3210,2,2,2,Yes
3211,5,4,4,Yes
3212,1,4,4,Yes
3213,3,3,3,Yes
3214,5,5,5,Yes
3215,3,3,3,No
3216,5,1,1,Yes
3217,2,5,5,Yes
3218,4,5,5,Yes
3219,3,2,2,Yes
3220,1,1,1,Yes
3221,5,5,5,Yes
3222,2,2,2,Yes
3223,4,3,3,Yes
3224,5,5,5,No
3225,2,3,3,Yes
3226,5,4,4,No
3227,3,5,5,Yes
3228,1,2,2,Yes
3229,5,5,5,No
3230,3,1,1,Yes
3231,2,3,3,Yes
3232,2,5,5,Yes
3233,4,3,3,Yes
3234,4,5,5,No
3235,3,2,2,Yes
3236,5,4,4,Yes
3237,3,3,3,Yes
3238,1,1,1,No
3239,5,5,5,Yes
3240,5,2,2,Yes
3241,2,4,4,Yes
3242,1,5,5,Yes
3243,5,2,2,No
3244,2,5,5,Yes
3245,3,3,3,Yes
3246,,1,1,Yes
3247,5,5,5,Yes
3248,3,3,3,No
3249,4,2,2,Yes
3250,5,2,2,Yes
3251,2,4,4,Yes
3252,5,4,4,Yes
3253,1,3,3,Yes
3254,3,5,5,Yes
3255,5,3,3,No
3256,3,1,1,Yes
3257,5,5,5,Yes
3258,2,5,5,Yes
3259,4,2,2,Yes
3260,3,1,1,Yes
3261,1,5,5,Yes
3262,5,2,2,Yes
3263,2,3,3,Yes
3264,4,,,No
3265,5,,,Yes
3266,2,,,No
3267,5,,,Yes
3268,3,,,Yes
3269,1,,,No
3270,5,,,Yes
3271,3,,,Yes
3272,2,,,Yes
3273,2,,,Yes
3274,4,,,No
3275,4,,,Yes
3276,3,,5,Yes
3277,5,,3,Yes
3278,3,5,4,No
3279,1,3,5,Yes
3280,5,4,2,Yes
3281,5,5,5,Yes
3282,2,2,1,Yes
3283,1,5,3,No
3284,5,1,5,Yes
3285,2,3,3,Yes
3286,3,5,5,Yes
3287,5,3,2,Yes
3288,3,5,4,No
3289,4,2,3,Yes
3290,5,4,1,Yes
3291,2,3,5,Yes
3292,5,1,2,Yes
3293,1,5,4,Yes
3294,3,2,5,Yes
3295,5,4,2,No
3296,3,5,5,Yes
3297,5,2,3,Yes
3298,2,5,1,Yes
3299,4,3,5,Yes
3300,3,1,3,Yes
3301,1,5,2,Yes
3302,5,3,2,Yes
3303,2,2,4,Yes
3304,4,2,4,No
3305,5,4,3,Yes
3306,2,4,5,No
3307,5,3,3,Yes
3308,3,5,1,Yes
3309,1,3,5,No
3310,5,1,5,Yes
3311,3,5,2,Yes
3312,2,5,1,Yes
3313,2,2,5,Yes
3314,4,1,2,No
3315,4,5,3,Yes
3316,3,2,5,Yes
3317,5,3,3,Yes
3318,3,5,4,No
3319,1,3,5,Yes
3320,5,4,2,Yes
3321,5,5,5,Yes
3322,2,2,1,Yes
3323,1,5,3,No
3324,5,1,5,Yes
3325,2,3,3,Yes
3326,3,5,5,Yes
3327,5,3,2,Yes
3328,3,5,4,No
3329,4,2,3,Yes
3330,5,4,1,Yes
3331,2,3,5,Yes
3332,5,1,2,Yes
3333,1,5,4,Yes
3334,3,2,5,Yes
3335,5,4,2,No
3336,3,5,5,Yes
3337,5,2,3,Yes
3338,2,5,1,Yes
3339,4,3,5,Yes
3340,3,1,3,Yes
3341,1,5,2,Yes
3342,5,3,2,Yes
3343,2,2,4,Yes
3344,4,2,4,No
3345,5,4,3,Yes
3346,2,4,5,No
3347,5,3,3,Yes
3348,3,5,1,Yes
3349,1,3,5,No
3350,5,1,5,Yes
3351,3,5,2,Yes
3352,2,5,1,Yes
3353,2,2,5,Yes
3354,4,1,2,No
3355,4,5,3,Yes
3356,3,2,5,Yes
3357,5,3,3,Yes
3358,3,5,4,No
3359,1,3,5,Yes
3360,5,4,2,Yes
3361,5,5,5,Yes
3362,2,2,1,Yes
3363,1,5,3,No
3364,5,1,5,Yes
3365,2,3,3,Yes
3366,3,5,5,Yes
3367,5,3,2,Yes
3368,3,5,4,No
3369,4,2,3,Yes
3370,5,4,1,Yes
3371,2,3,5,Yes
3372,5,1,2,Yes
3373,1,5,4,Yes
3374,3,2,5,Yes
3375,5,4,2,No
3376,3,5,5,Yes
3377,5,2,3,Yes
3378,2,5,1,Yes
3379,4,3,5,Yes
3380,3,1,3,Yes
3381,1,5,2,Yes
3382,5,3,2,Yes
3383,2,2,4,Yes
3384,4,2,4,No
3385,5,4,3,Yes
3386,2,4,5,No
3387,5,3,3,Yes
3388,3,5,1,Yes
3389,1,3,5,No
3390,5,1,5,Yes
3391,3,5,2,Yes
3392,2,5,1,Yes
3393,2,2,5,Yes
3394,4,1,2,No
3395,4,5,3,Yes
3396,3,2,5,Yes
3397,5,3,3,Yes
3398,3,5,4,No
3399,1,3,5,Yes
3400,5,4,2,Yes
3401,5,5,5,Yes
3402,2,2,1,Yes
3403,1,5,3,No
3404,5,1,5,Yes
3405,2,3,3,Yes
3406,3,5,5,Yes
3407,,3,2,Yes
3408,5,5,4,No
3409,3,2,3,Yes
3410,4,4,1,Yes
3411,5,3,5,Yes
3412,2,1,2,Yes
3413,5,5,4,Yes
3414,1,2,5,Yes
3415,3,4,2,No
3416,5,5,5,Yes
3417,3,2,3,Yes
3418,5,5,1,Yes
3419,2,3,5,Yes
3420,4,1,3,Yes
3421,3,5,2,Yes
3422,1,3,2,Yes
3423,5,2,4,Yes
3424,2,2,4,No
3425,4,4,3,Yes
3426,5,4,5,No
3427,2,3,3,Yes
3428,5,5,1,Yes
3429,3,3,5,No
3430,1,1,5,Yes
3431,5,5,2,Yes
3432,3,5,1,Yes
3433,2,2,5,Yes
3434,2,1,2,No
3435,4,5,3,Yes
